ph_measurement;Temperature;Soil_Humidity;Electrical_conductivity(uS/cm);Target;
12;27,5;24,4;2,5;2;
8,1;29,6;79,2;4,3;0;
1,2;29,9;22,8;2,3;1;
10,8;31,7;20,4;1,7;1;
11,1;22,4;97,2;5,9;0;
11,1;26,3;70,8;2,5;0;
0;27,8;78,8;5,7;0;
7,5;22,7;55,6;3,5;2;
8,4;32,3;13,6;5,3;1;
2,4;19,4;30,8;1,9;2;
1,2;31,1;0,8;4,1;1;
10,5;23,6;26,8;4,9;1;
7,2;20,6;52;3,9;1;
12,6;27,2;62;4,5;1;
12,6;32,3;47,6;4,3;1;
11,4;23,3;71,6;5,1;0;
4,8;24,5;86,4;1,3;0;
2,1;27,2;34;1,1;2;
12;28,4;12,8;1,1;1;
5,7;25,1;68;4,3;1;
6,3;24,8;61,2;2,5;2;
5,7;26;9,2;1,3;2;
12,9;20,3;35,6;5,7;1;
3,3;27,8;56;1,9;2;
6,6;21,2;34;1,5;2;
7,2;28,4;65,6;2,5;1;
8,7;20,9;68,4;6,1;1;
10,8;18,8;14,8;3,5;2;
8,7;25,4;26;2,5;2;
3,9;29,9;68,8;3,5;1;
4,5;23;72;2,1;0;
6,6;29,3;74,8;4,5;0;
0,9;18,2;38,4;5,9;1;
12,9;29,9;0,8;5,3;1;
13,5;20,9;47,6;5,5;1;
9,9;20;84,8;5,5;0;
12,6;32,9;21,6;4,5;1;
0,3;21,2;76,4;4,1;0;
4,2;29,9;68;1,5;1;
8,7;23,6;77,2;6,1;0;
1,2;31,1;8,4;1,3;1;
9,3;17,9;90,8;4,1;0;
7,8;28,7;59,2;4,1;1;
8,1;18,5;99,2;5,3;0;
9,6;22,1;28,8;3,5;2;
0;21,5;62;2,7;2;
9,9;28,1;45,6;4,9;1;
12,9;27,2;13,2;2,7;2;
0,3;32,9;84,8;4,9;0;
13,5;25,4;94;1,5;0;
8,1;23,6;14,4;4,3;1;
13,8;28,1;3,2;5,9;1;
8,4;17,3;52,8;1,3;2;
5,1;23,6;21,6;1,1;2;
13,5;29;32;5,1;1;
4,8;27,8;34,8;1,9;2;
13,5;23,6;38;2,9;2;
11,1;32;18;2,5;1;
12;23;71,6;2,5;0;
6;18,8;6,8;2,9;2;
12;21,5;25,2;3,5;2;
12,6;29;77,2;6,1;0;
6,6;32,6;99,6;3,1;0;
5,7;26,6;7,2;3,5;2;
5,1;19,1;66,4;1,1;2;
9;31,4;2,4;1,3;1;
8,4;26;35,6;4,1;1;
10,2;25,7;7,6;3,7;1;
10,5;32,3;95,2;2,3;0;
3,6;26,6;69,6;1,3;2;
0;22,1;65,6;4,5;1;
4,2;19,1;56,4;4,7;1;
10,5;26,9;8,4;5,1;1;
7,2;21,8;1,6;5,3;1;
13,8;27,2;0,8;3,3;2;
4,8;27,8;34,8;1,9;2;
3,6;20,9;4;4,1;1;
3,6;29,9;82,4;4,5;0;
8,4;29,3;98,8;5,7;0;
11,4;19,7;34,8;2,3;2;
11,1;21,8;23,2;2,1;2;
8,4;19,4;12,8;1,1;2;
9,6;19,4;13,6;4,7;1;
4,5;18,2;56,4;3,1;2;
1,2;25,7;60,8;2,1;2;
3,9;23,6;54,4;3,1;2;
9;17,3;49,6;3,5;2;
4,8;24,5;60,4;2,9;2;
0,3;17,9;33,2;2,9;2;
6;20,3;98,8;3,7;0;
8,7;20;42,8;1,9;2;
6,9;17,6;3,2;5,3;1;
11,1;24,5;10,8;5,1;1;
11,4;21,8;52;1,3;2;
2,4;22,4;84,4;1,3;0;
6,6;28,4;28;5,1;1;
9,6;32;19,6;1,3;1;
9;31,7;38,4;5,5;1;
7,2;29;73,2;2,7;0;
9,6;26,6;18,8;1,5;2;
8,4;25,7;88,4;3,7;0;
10,8;23,3;83,2;4,9;0;
3;22,7;88,4;3,9;0;
0;31,7;18,8;4,9;1;
1,2;29,9;22,8;2,3;1;
12;28,4;44;1,1;1;
12,3;21,8;17,6;5,3;1;
2,4;29,3;59,6;4,5;1;
3,3;29,3;22;2,5;1;
6,3;21,5;4;2,1;2;
7,2;26,3;93,2;3,5;0;
12,6;19,4;58;4,7;1;
2,7;18,2;76,8;3,3;0;
3;27,8;70,4;5,5;0;
7,8;21,8;50;1,5;2;
5,4;18,5;84;4,5;0;
3,3;23,3;42,4;2,1;2;
6,9;27,5;17,2;2,7;2;
3;28,4;61,6;4,5;1;
6;22,1;78,8;3,5;0;
2,7;17,9;6,8;4,1;1;
10,5;26,9;89,6;5,5;0;
2,7;21,5;88;3,3;0;
7,5;22,1;95,6;3,3;0;
6,9;29,3;4;1,9;1;
3,3;19,7;69,6;1,7;2;
10,8;32;53,6;2,9;1;
10,2;32,6;73,2;5,7;0;
8,7;23,9;2;3,5;2;
4,5;27,5;16;2,5;2;
10,8;27,5;71,6;3,9;0;
8,1;26;30,8;2,1;2;
6,6;30,5;62;5,1;1;
10,5;29,6;45,6;2,1;1;
10,5;17,9;15,2;3,5;2;
5,7;19,4;96;5,9;0;
11,4;21,2;80,8;4,1;0;
3;22,4;32,4;6,1;1;
6,3;22,4;30;4,1;1;
5,1;23,6;21,6;1,1;2;
8,1;32,6;42,4;1,1;1;
6;18,8;69,2;1,5;2;
10,5;17,6;99,6;3,9;0;
13,2;28,4;54,8;3,1;1;
6,3;17;24,4;4,9;1;
6,6;21,8;23,2;5,1;1;
6,9;32,9;71,6;2,7;0;
3,6;21,5;7,2;2,5;2;
11,4;21,5;13,2;5,3;1;
12;18,2;41,6;2,5;2;
0,3;32,3;99,6;1,1;0;
13,8;23,9;24;3,7;1;
13,8;28,1;3,2;5,9;1;
13,8;27,8;98,8;1,9;0;
7,8;21,8;88,4;5,1;0;
6;26,3;88;1,7;0;
3,3;17;52,4;3,7;1;
0;27,8;64,4;4,1;1;
11,1;22,1;16,4;2,9;2;
10,8;18,5;95,6;4,1;0;
1,2;27,5;42,4;4,5;1;
9,3;29,3;16;4,3;1;
4,8;28,4;61,6;5,1;1;
13,8;23,3;49,2;2,3;2;
9;18,5;35,2;4,7;1;
4,8;21,8;94,8;2,5;0;
5,1;17,9;24,8;6,1;1;
10,8;27,2;56,8;3,9;1;
6,9;32,6;12,8;1,3;1;
0,9;26,3;26,8;6,1;1;
13,8;23,3;49,2;2,3;2;
0;20,6;42,8;4,9;1;
3,9;24,2;96;5,5;0;
5,7;18,2;42;3,7;1;
5,1;17,3;11,6;4,3;1;
5,1;21,5;62,8;2,1;2;
10,8;24,2;63,6;5,5;1;
1,8;32;31,6;4,5;1;
13,2;23,9;18;2,1;2;
8,4;24,2;30,4;5,5;1;
11,7;29,3;19,2;5,5;1;
3;29,3;24;2,7;1;
4,5;32;47,2;4,1;1;
9;22,4;53,2;5,3;1;
12;22,7;22,8;5,1;1;
11,7;25,1;30,8;2,3;2;
4,8;25,7;33,2;2,3;2;
0;21,5;62;2,7;2;
3,3;20,9;19,6;5,7;1;
8,1;32;41,2;2,3;1;
7,8;26,6;26,4;4,1;1;
9,9;17,3;99,2;2,5;0;
3,3;27,8;56;1,9;2;
12,3;17,3;31,2;2,9;2;
8,4;32,6;53,2;2,9;1;
2,4;17,9;35,6;5,9;1;
5,1;26,9;86;1,1;0;
11,4;27,2;0;1,7;2;
6,3;27,5;22,4;3,1;2;
6,9;17,6;3,2;5,3;1;
10,8;28,7;20;2,3;1;
3;28,7;17,2;5,1;1;
12,3;21,2;6,4;5,5;1;
5,1;20,6;51,2;4,5;1;
13,8;20;57,6;3,9;1;
8,7;17,3;78;3,7;0;
6;28,1;77,6;2,5;0;
3,9;32,9;69,6;2,5;1;
2,7;30,8;27,2;1,1;1;
9,9;17,6;65,2;2,5;2;
4,2;20;47,2;1,5;2;
0,3;20,9;14,8;5,9;1;
12,9;20;67,2;4,7;1;
8,4;29,6;97,6;3,1;0;
13,2;17,3;18,8;5,3;1;
9,6;25,7;52;3,5;2;
8,4;26;35,6;4,1;1;
6,9;17;1,6;5,1;1;
0,6;30,5;26;5,5;1;
9,9;30,8;20;2,3;1;
5,7;32;32,4;4,1;1;
11,4;32,6;26;5,1;1;
13,2;22,7;18,8;3,9;1;
9,6;32;24;1,5;1;
12,6;23;64,8;1,5;2;
12,6;28,1;94,4;4,5;0;
8,1;27,2;72,4;5,3;0;
7,2;20,9;53,6;4,3;1;
12;29,3;36;4,3;1;
2,1;25,1;13,6;2,5;2;
1,5;17;67,2;3,5;2;
11,4;30,2;78,4;3,3;0;
5,7;28,1;9,6;5,9;1;
13,2;27,2;19,2;5,7;1;
9,3;26,9;84,4;1,7;0;
1,8;20,3;68,8;4,9;1;
13,5;32,6;28,4;4,1;1;
10,2;23,6;53,2;3,5;2;
7,2;25,1;77,6;1,7;0;
7,2;27,8;23,2;2,3;2;
1,5;20,6;57,2;6,1;1;
12,3;18,8;59,6;2,3;2;
0;26,9;58,8;3,3;2;
12;20,9;80;6,1;0;
3;20,6;48;2,1;2;
8,7;22,7;4,4;5,3;1;
4,5;18,2;53,6;4,7;1;
10,2;19,7;24,8;1,5;2;
3,3;23,6;65,2;1,1;2;
12,6;20,6;99,6;1,1;0;
0,6;31,4;11,6;3,9;1;
13,8;30,5;62;5,9;1;
6,3;32,3;20,4;2,9;1;
12,9;25,7;50,4;6,1;1;
0,9;17,3;82;3,7;0;
7,8;24,5;2;1,9;2;
12,9;23,9;6;1,3;2;
2,7;29,6;60,4;5,3;1;
3,9;22,4;64,4;4,9;1;
6,3;17,3;78;4,3;0;
7,5;25,1;78;5,9;0;
4,5;25,7;98;5,3;0;
10,8;20;23,2;4,7;1;
4,8;18,5;3,6;5,5;1;
5,4;26,6;73,2;2,7;0;
10,5;26,9;61,6;4,9;1;
8,1;21,8;18,4;4,5;1;
11,1;20,3;41,6;4,7;1;
11,1;24,5;10,8;5,1;1;
9,9;27,8;31,6;1,3;2;
3;32,9;94,8;2,5;0;
7,5;29,9;20,8;3,7;1;
12,3;28,7;70;3,3;1;
9,9;22,1;68,8;2,3;2;
1,8;32,9;62;1,1;1;
7,5;18,2;29,6;2,9;2;
2,7;18,8;5,6;4,1;1;
8,7;28,4;67,2;3,3;1;
7,2;26,6;57,2;3,1;2;
5,1;20,6;51,2;4,5;1;
11,4;32,9;9,6;1,5;1;
0,3;26,6;45,2;5,1;1;
12,3;26;89,6;3,3;0;
6,6;32,6;32,4;3,3;1;
7,8;21,8;88,4;5,1;0;
12;23,9;52,4;4,7;1;
11,4;31,4;20,8;4,9;1;
13,8;19,1;87,2;1,9;0;
6;22,7;96,8;4,3;0;
2,1;24,2;68,8;3,1;2;
4,5;23,6;41,6;1,1;2;
11,4;23,9;68;4,7;1;
1,2;29;95,2;1,1;0;
12;32,3;46,8;1,7;1;
9,6;29,6;7,6;3,3;1;
0;30,2;35,6;5,3;1;
0,6;32,3;2,8;3,3;1;
9,9;17;14,8;1,9;2;
9;28,7;15,2;4,9;1;
1,5;31,4;67,6;2,3;1;
13,8;21,2;17,2;5,7;1;
9,3;27,5;1,6;3,1;2;
13,2;21,8;36,4;6,1;1;
0;21,5;97,6;4,7;0;
4,2;30,8;76,4;3,7;0;
7,8;32,9;45,6;4,3;1;
3;29,3;38;4,5;1;
6,9;23,9;56;4,5;1;
12,3;28,4;4,4;1,9;1;
10,2;30,5;80,4;3,3;0;
11,4;32,6;26;5,1;1;
8,7;24,8;69,6;2,5;2;
4,5;20;32;4,3;1;
7,5;32,3;12,8;2,3;1;
11,4;31,4;20,8;4,9;1;
2,7;20,9;77,6;2,3;0;
0;24,2;82,8;2,3;0;
10,8;19,7;21,2;2,5;2;
3,3;18,8;16,8;5,7;1;
0,6;25,7;53,2;4,5;1;
0;19,7;16,8;5,1;1;
0,6;27,2;77,2;4,7;0;
5,4;23;80;2,7;0;
8,4;17,3;70,4;6,1;0;
1,8;29,3;1,2;3,1;1;
4,8;21,8;94,8;2,5;0;
4,5;21,8;28;4,3;1;
1,2;27,5;65,6;1,3;2;
5,1;17,3;78,4;4,9;0;
11,7;26,6;71,2;3,1;0;
5,7;21,5;38;4,5;1;
6;22,1;78,8;3,5;0;
8,7;25,7;63,6;4,7;1;
9;17,9;55,6;4,9;1;
3,6;26;99,6;4,3;0;
9,3;32,9;68,4;1,3;1;
12;29,3;36;4,3;1;
6,3;24,5;7,6;3,7;1;
8,7;20,6;10,4;3,9;1;
6,3;23,3;60;3,9;1;
3;18,2;48,8;3,5;2;
11,4;24,5;5,2;4,3;1;
12,9;29;28,8;3,9;1;
9;29,3;56;4,5;1;
9,9;22,7;64,4;4,1;1;
1,8;17,3;99,6;2,1;0;
7,5;23,6;75,2;4,9;0;
6,6;29,3;74,8;4,5;0;
5,4;28,7;7,2;2,7;1;
3;25,4;87,2;1,5;0;
13,8;27,2;0,8;3,3;2;
0,9;24,2;4,8;3,5;2;
11,4;27,8;70,4;4,3;0;
5,7;22,1;55,2;3,9;1;
10,2;22,1;19,6;2,1;2;
6,3;29;71,2;4,7;0;
9,6;17;96,4;3,1;0;
3;20,6;48;2,1;2;
2,4;29,9;4;5,3;1;
5,1;23,6;21,6;1,1;2;
12,6;29;36;3,1;1;
1,8;27,5;5,2;4,7;1;
6,3;30,5;94,8;4,9;0;
5,4;28,7;61,6;5,5;1;
1,2;18,8;94,8;5,3;0;
0,3;27,8;28,8;1,9;2;
13,2;29;10,8;3,3;1;
1,2;31,1;8,4;1,3;1;
5,1;18,5;40,4;6,1;1;
11,4;18,8;42;4,5;1;
3;29;44,8;1,9;1;
6,9;28,4;68,8;1,3;1;
9;26;4;2,3;2;
2,7;26;28,8;5,1;1;
3,9;27,8;1,2;2,9;2;
8,4;30,8;2,8;3,1;1;
9,6;29,6;7,6;3,3;1;
7,8;18,8;38;2,3;2;
3,9;19,1;11,2;2,5;2;
6,6;23,6;9,2;1,1;2;
0;30,5;2;3,3;1;
8,7;26,3;63,6;1,1;2;
12,9;25,7;50,4;6,1;1;
12,9;22,7;35,2;4,9;1;
12;28,4;12,8;1,1;1;
10,2;22,1;90;4,1;0;
1,2;18,8;32;4,1;1;
8,4;30,8;2,8;3,1;1;
3,6;21,5;7,2;2,5;2;
13,2;20,9;14,8;1,5;2;
13,5;25,7;1,6;4,5;1;
12;27,5;14;4,9;1;
5,7;27,5;34,4;1,1;2;
10,8;30,2;71,6;4,5;0;
7,2;23,9;95,2;1,1;0;
11,4;21,2;80,8;4,1;0;
9,9;30,8;41,2;2,1;1;
9,3;26,9;15,6;1,1;2;
8,1;29,9;32,8;5,7;1;
8,1;29,6;21,2;2,7;1;
9,9;21,2;46,4;5,5;1;
6;29,3;54,8;4,1;1;
7,8;26,9;68,4;2,3;2;
5,1;23,6;84,8;2,1;0;
0,3;17,6;63,6;2,7;2;
5,1;17,9;24,8;6,1;1;
12,3;17;53,2;4,3;1;
12,9;20,3;81,2;5,1;0;
11,1;31,4;45,6;1,9;1;
0,9;20,3;60;1,5;2;
1,5;29;30,8;1,5;1;
6,9;25,4;98,4;2,7;0;
9,6;25,1;9,6;2,5;2;
9,6;28,1;7,6;5,7;1;
9;26,6;99,6;2,5;0;
5,4;18,2;56,4;3,9;1;
1,2;26,6;36;4,1;1;
3;18,5;38,4;4,7;1;
9,9;27,2;37,6;2,7;2;
6;26;42,4;3,7;1;
6;31,1;36,8;2,3;1;
10,8;17,6;46;2,9;2;
10,2;30,5;80,4;3,3;0;
13,2;27,5;42,4;4,1;1;
2,4;23,6;84;2,1;0;
12;25,7;54,8;2,7;2;
8,1;26,9;44,8;4,9;1;
9;28,1;33,2;1,9;1;
3,3;27,2;78;5,1;0;
9,6;26,6;40;2,9;2;
12,9;23,9;6;1,3;2;
5,4;26,6;73,2;2,7;0;
6,9;19,1;86,4;2,7;0;
6,3;26,6;79,2;3,5;0;
6,9;19,1;30,4;3,7;1;
3;24,8;46;4,5;1;
8,7;26,6;78,4;4,7;0;
3,3;19,1;22,4;5,1;1;
0,9;17;58;2,9;2;
4,8;27,8;36;5,5;1;
12;20,3;91,2;1,9;0;
13,8;17;60,8;2,3;2;
5,1;31,4;99,2;4,5;0;
12,6;22,4;70;4,9;1;
2,7;17,9;6,8;4,1;1;
10,5;21,2;67,2;5,5;1;
12,3;17;43,2;3,9;1;
5,4;26,6;73,2;2,7;0;
10,2;21,2;44;4,1;1;
11,7;25,4;28;2,7;2;
1,2;27,2;64;1,5;2;
9,9;22,1;68,8;2,3;2;
6;25,7;36,8;5,9;1;
9,3;29,6;62,8;2,9;1;
12;23,3;82,4;1,3;0;
1,5;22,4;98;1,7;0;
2,7;23;85,6;1,5;0;
0,3;17;82;1,9;0;
13,5;27,8;0,8;2,3;2;
4,2;29,6;45,2;4,9;1;
0,6;30,2;56,4;4,1;1;
9,6;21,8;0,8;5,9;1;
8,7;26,9;48,4;4,5;1;
6,6;23;6,4;5,1;1;
0,3;32,9;84,8;4,9;0;
6,9;17,6;3,2;5,3;1;
5,4;24,8;61,2;4,5;1;
0;26;84;3,5;0;
10,2;32,6;95,2;1,7;0;
7,8;17;93,6;1,5;0;
11,1;22,1;16,4;2,9;2;
9,9;32,6;13,2;3,3;1;
11,1;32,6;33,6;2,5;1;
5,7;26;50;3,1;2;
3,3;23,6;65,2;1,1;2;
2,1;17,9;76;4,7;0;
8,1;27,2;72,4;5,3;0;
3,6;31,4;58,8;1,5;1;
12,3;32;66,8;4,9;1;
1,2;18,8;23,6;1,1;2;
10,5;23,6;26,8;4,9;1;
11,1;27,5;96,4;5,3;0;
8,4;27,2;9,6;5,9;1;
8,7;19,7;14;1,3;2;
1,2;31,7;17,2;3,5;1;
3,9;17,6;34;1,3;2;
4,2;31,1;61,2;4,1;1;
9,3;22,7;57,6;5,7;1;
13,2;20,9;14,8;1,5;2;
9;27,2;9,6;4,3;1;
7,8;23,9;98,4;4,7;0;
4,5;24,8;98,8;1,5;0;
12,6;27,2;66,4;6,1;1;
6,3;24,8;61,2;2,5;2;
12,3;17,9;88;1,3;0;
3,3;17,9;66;5,9;1;
12,9;27,2;74;4,9;0;
0;27,8;64,4;4,1;1;
2,1;24,2;43,2;5,5;1;
4,2;32,9;66;1,1;1;
4,2;19,1;81,2;3,7;0;
4,2;25,4;50,4;1,9;2;
3;31,7;92,8;2,1;0;
12,9;26,9;97,2;4,5;0;
2,4;25,7;85,6;4,7;0;
7,2;23;29,2;2,5;2;
8,4;29,6;10,4;1,5;1;
11,4;20,3;74;2,9;0;
10,8;19,7;78,4;3,5;0;
3,3;27,2;78;5,1;0;
9,6;25,1;9,6;2,5;2;
9;17,3;49,6;3,5;2;
8,4;28,4;16;2,7;1;
12,3;32,3;22,4;2,7;1;
9,3;21,8;5,2;4,5;1;
3;32,9;85,2;1,1;0;
9;17,9;55,6;4,9;1;
7,2;20,6;52;3,9;1;
2,4;20,6;21,6;4,9;1;
4,5;29,6;10,8;5,1;1;
5,1;22,4;49,2;3,7;1;
4,8;29;8,4;1,7;1;
0,3;20,9;14,8;5,9;1;
2,7;29,6;60,4;5,3;1;
7,5;29,6;20,4;6,1;1;
7,2;19,4;86,8;3,1;0;
5,1;19,1;66,4;1,1;2;
8,4;22,7;36,8;5,9;1;
6,3;24,5;7,6;3,7;1;
10,8;24,2;63,6;5,5;1;
11,1;27,2;82,4;6,1;0;
12,3;31,7;25,2;2,5;1;
5,1;24,5;98,4;3,3;0;
7,8;24,8;89,2;5,5;0;
10,8;22,4;52;2,7;2;
1,5;18,2;30,8;1,3;2;
4,2;19,1;81,2;3,7;0;
5,4;29;33,6;3,1;1;
11,7;22,4;40,4;2,9;2;
6;27,2;1,2;2,9;2;
10,8;18,8;54,8;3,5;2;
7,8;24,8;25,2;2,1;2;
3,3;21,8;34,4;3,1;2;
0,6;21,8;60,4;3,1;2;
4,8;24,5;60,4;2,9;2;
7,8;18,8;38;2,3;2;
3,9;31,4;64,4;3,7;1;
12,9;26,6;46,8;1,5;2;
4,5;31,7;44,8;2,3;1;
9,6;32,9;56,4;1,3;1;
10,8;27,5;71,6;3,9;0;
4,8;31,1;24,4;1,1;1;
0,6;24,5;93,2;5,3;0;
10,8;22,4;52;2,7;2;
9,6;26,9;78,4;5,3;0;
5,7;22,1;10;3,1;2;
12;23;64,4;5,9;1;
6,6;19,7;19,2;2,7;2;
1,5;28,7;43,6;2,1;1;
11,4;25,4;28,4;1,1;2;
11,1;26,3;70,8;2,5;0;
9,9;17,6;82;4,5;0;
4,5;29;31,2;3,9;1;
5,1;17,9;92;2,9;0;
0,3;27,5;85,2;1,3;0;
12;26,3;73,2;2,5;0;
1,2;31,4;4;5,9;1;
9,3;23;16;1,1;2;
12,9;26,6;94;4,9;0;
12;21,8;50,8;1,3;2;
10,8;20,9;84,4;2,5;0;
3,6;24,2;8,8;5,1;1;
4,2;27,5;20,8;3,9;1;
3;27,5;48;4,5;1;
0,9;29,9;78;3,9;0;
13,5;31,1;14,8;3,7;1;
12,6;24,5;54;4,5;1;
7,2;21,8;35,2;2,7;2;
1,2;18,8;22,4;2,3;2;
9,9;17,6;82;4,5;0;
7,8;32,9;5,2;1,3;1;
5,1;30,5;24,8;3,9;1;
10,2;24,2;6,4;1,5;2;
12;20,9;64,4;1,5;2;
6;26;64,8;4,7;1;
3,3;20,6;92,8;2,3;0;
7,8;31,7;38;6,1;1;
10,5;22,7;41,6;1,1;2;
1,8;32;31,6;4,5;1;
9;20,9;64;1,3;2;
8,7;25,4;15,2;6,1;1;
8,7;30,5;79,6;1,1;0;
12,6;32,3;22,4;6,1;1;
5,4;32,3;48,8;5,5;1;
6,6;26;77,6;3,1;0;
4,2;25,1;54,4;4,7;1;
11,7;27,5;16,8;5,3;1;
4,5;22,1;95,2;5,5;0;
6;23,9;18,8;4,9;1;
13,2;30,2;86;1,1;0;
4,5;23,6;41,6;1,1;2;
0,3;27,2;70,4;2,3;0;
8,7;20;42,8;1,9;2;
3,6;19,7;31,6;1,1;2;
0;17;98,4;4,3;0;
4,8;19,4;76,4;5,1;0;
6,9;17;1,6;5,1;1;
9,3;31,1;63,2;5,5;1;
10,8;18,8;14,8;3,5;2;
6,3;32,3;38;1,5;1;
9,9;23;60,8;5,1;1;
11,4;19,4;96,4;2,3;0;
4,5;19,1;84,4;1,5;0;
3,6;25,4;82,4;1,7;0;
11,1;20,3;42;4,9;1;
7,8;30,8;6,4;5,3;1;
13,8;30,8;88,4;4,5;0;
8,7;25,7;59,6;4,7;1;
12;23,3;82,4;1,3;0;
12,6;29,3;41,6;5,1;1;
9,9;23;36,8;4,3;1;
5,1;25,1;72,8;1,3;0;
0,6;25,7;53,2;4,5;1;
3;29,9;48,8;5,7;1;
5,4;17,6;46;2,9;2;
12,9;27,2;13,2;2,7;2;
7,2;30,8;54;3,3;1;
0,9;27,5;4,8;4,1;1;
9;27,8;4;5,9;1;
13,5;27,5;48,8;5,3;1;
0,6;32,9;40,4;2,7;1;
13,8;23,9;24;3,7;1;
6,6;23,6;9,2;1,1;2;
5,4;20,6;77,2;3,1;0;
12;20,3;91,2;1,9;0;
13,8;19,4;60,8;5,7;1;
10,5;31,4;21,2;5,3;1;
10,5;18,8;24,4;5,9;1;
12;27,5;24,4;2,5;2;
11,7;17,9;92,4;5,7;0;
6,6;30,5;62;5,1;1;
3,6;31,4;58,8;1,5;1;
6,6;32,3;53,2;2,7;1;
10,2;30,2;36,4;6,1;1;
7,5;17,9;93,6;5,1;0;
7,5;31,4;60;3,7;1;
9;24,2;24;4,3;1;
6,3;25,4;90,8;1,7;0;
12;21,8;54,8;6,1;1;
1,8;22,1;9,6;2,5;2;
0,6;28,7;39,2;2,9;1;
2,7;27,2;30,8;5,9;1;
10,8;29,3;38,4;2,3;1;
7,5;26,6;92,4;5,1;0;
11,1;27,5;96,4;5,3;0;
0,6;28,7;39,2;2,9;1;
0,6;18,8;56,4;3,3;2;
0,6;25,4;94,8;2,3;0;
9,6;17;10,8;5,1;1;
5,4;29,3;60,4;2,5;1;
13,8;30,8;88,4;4,5;0;
5,7;32,3;25,6;3,3;1;
0,6;18,5;13,6;4,1;1;
12,6;17,6;22,8;3,7;1;
10,5;22,4;22,4;4,9;1;
4,5;19,1;84,4;1,5;0;
11,7;28,7;96,8;3,9;0;
3,3;30,8;32;1,9;1;
0,3;24,8;25,2;5,9;1;
9,3;24,5;72,8;5,1;0;
0,3;20;6,4;4,3;1;
9,6;31,7;57,6;5,7;1;
0,6;25,7;11,6;4,3;1;
7,2;26,3;13,2;5,5;1;
0,3;27,5;85,2;1,3;0;
1,5;18,8;72,8;6,1;0;
9,9;21,2;46,4;5,5;1;
12,6;23;64,8;1,5;2;
4,2;31,1;61,2;4,1;1;
0,9;20,6;36,8;1,7;2;
9,6;24,5;22,8;5,3;1;
6,9;17,6;3,2;5,3;1;
1,2;24,8;0,4;4,7;1;
1,2;23,3;35,6;4,3;1;
8,4;22,7;6,8;3,9;1;
1,8;32,3;9,2;3,7;1;
6;20;33,6;2,3;2;
10,2;18,8;24,4;5,9;1;
2,1;27,2;34;1,1;2;
8,7;29;15,6;2,9;1;
6,9;22,7;23,6;4,3;1;
2,4;17;56;4,3;1;
4,8;18,8;25,6;1,7;2;
10,2;24,5;29,6;2,1;2;
9;19,1;87,6;3,1;0;
1,2;32;20,8;5,5;1;
12;27,8;21,2;5,5;1;
